month,value
2011-08,1.6719
2011-09,0.5075
2011-10,0.4808
2011-11,0.4845
2011-12,0.4053
2012-01,0.1813
2012-02,0.1424
2012-03,0.1224
2012-04,0.2942
2012-05,0.4011
2012-06,0.0685
2012-07,0.2940
2012-08,0.1235
2012-09,0.1221
2012-10,0.2798
2012-11,0.1632
2012-12,0.1020
2013-01,0.0000
2013-02,0.3931
2013-03,0.1314
2013-04,0.0505
2013-05,0.4473
2013-06,0.1464
2013-07,0.1573
2013-08,0.1547
2013-09,0.3429
2013-10,0.3345
2013-11,0.5286
2013-12,0.2847
2014-01,0.0571
2014-02,0.1066
2014-03,0.3573
2014-04,0.2449
2014-05,0.0585
2014-06,0.2728
2014-07,0.1191
2014-08,0.0556
2014-09,0.0000
2014-10,0.3046
2014-11,0.1930
2014-12,0.2433
2015-01,0.0676
2015-02,0.1219
2015-03,0.1162
2015-04,0.0679
2015-05,0.2331
2015-06,0.4082
2015-07,0.3571
2015-08,1.2344
2015-09,0.5865
2015-10,0.3955
2015-11,0.2109
2015-12,0.2980
2016-01,0.5069
2016-02,0.5097
2016-03,0.5168
2016-04,0.3653
2016-05,0.4854
2016-06,0.7672
2016-07,0.3583
2016-08,0.2048
2016-09,0.9288
2016-10,0.3965
2016-11,2.6399
2016-12,0.7981
2017-01,2.1780
2017-02,0.3316
2017-03,0.4751
2017-04,1.5382
2017-05,0.2901
2017-06,0.4406
2017-07,0.4416
2017-08,0.8256
2017-09,0.2586
2017-10,0.8051
2017-11,0.4916
2017-12,1.0909
2018-01,0.8408
2018-02,0.4909
2018-03,6.2306
2018-04,5.2005
2018-05,2.9341
2018-06,3.6253
2018-07,3.5262
2018-08,3.2673
2018-09,3.8520
2018-10,5.7054
2018-11,4.5626
2018-12,10.7161
2019-01,6.3590
2019-02,3.2605
2019-03,2.9462
2019-04,1.5543
2019-05,6.4249
2019-06,5.9509
2019-07,2.8940
2019-08,12.5870
2019-09,4.5364
2019-10,3.0826
2019-11,4.3505
2019-12,4.0928
2020-01,1.8459
2020-02,1.0045
2020-03,1.9648
2020-04,1.4062
2020-05,1.2541
2020-06,0.7447
2020-07,0.1556
2020-08,0.6521
2020-09,0.0000
2020-10,0.8597
2020-11,1.0707
2020-12,0.5088
2021-01,1.0292
2021-02,0.1608
2021-03,0.3204
2021-04,0.1613
2021-05,0.1534
2021-06,0.1702
2021-07,0.0000
2021-08,0.3446
2021-09,0.5068
2021-10,0.3227
2021-11,0.0000
2021-12,0.1491
2022-01,0.8722
2022-02,0.0000
2022-03,0.2680
2022-04,0.0000
2022-05,0.4543
2022-06,0.0000
2022-07,0.0000
2022-08,0.0000
2022-09,0.0000
2022-10,0.0000
2022-11,0.0000
2022-12,0.0000
2023-01,0.0000
2023-02,0.8880
2023-03,0.0000
2023-04,0.6377
2023-05,0.0000
2023-06,0.0000
2023-07,0.0000
2023-08,0.0000
2023-09,0.0000
2023-10,0.1712
2023-11,0.2208
2023-12,0.0000
2024-01,0.0000
2024-02,0.3804
2024-03,0.0000
2024-04,0.5033
2024-05,0.3119
2024-06,0.0000
2024-07,0.0000
2024-08,1.1033
2024-09,0.8851
2024-10,1.3146
2024-11,6.0385
2024-12,3.5475
2025-01,3.6994
2025-02,6.3920
2025-03,23.2036
2025-04,50.2604
2025-05,19.1999
2025-06,6.8787
2025-07,9.4551
2025-08,11.3107
2025-09,7.0504
2025-10,5.8729
2025-11,4.4727
2025-12,6.0367
2026-01,8.3497
2026-02,5.9336
2026-03,4.7408
2026-04,3.1689
2026-05,1.8915
2026-06,1.7208
2026-07,1.6862
