month,value
2011-08,23.8621
2011-09,10.9118
2011-10,6.0703
2011-11,5.5113
2011-12,6.6880
2012-01,5.6207
2012-02,4.0573
2012-03,4.6519
2012-04,4.2948
2012-05,4.1446
2012-06,6.8446
2012-07,4.7047
2012-08,5.3735
2012-09,6.7132
2012-10,5.7069
2012-11,3.3735
2012-12,3.8753
2013-01,6.8734
2013-02,6.2501
2013-03,6.5260
2013-04,5.1971
2013-05,6.6597
2013-06,10.7381
2013-07,7.0764
2013-08,5.9291
2013-09,7.3733
2013-10,6.5221
2013-11,5.7488
2013-12,7.7997
2014-01,6.4574
2014-02,4.9029
2014-03,4.3476
2014-04,5.9994
2014-05,4.0934
2014-06,3.0007
2014-07,3.7521
2014-08,4.6711
2014-09,4.0270
2014-10,10.9666
2014-11,3.9240
2014-12,5.8990
2015-01,9.4694
2015-02,3.7778
2015-03,5.2885
2015-04,4.5522
2015-05,4.0799
2015-06,5.7725
2015-07,8.7852
2015-08,15.8162
2015-09,10.7777
2015-10,6.3286
2015-11,4.2187
2015-12,8.7898
2016-01,12.3342
2016-02,10.1933
2016-03,6.8906
2016-04,4.0181
2016-05,4.0775
2016-06,9.0143
2016-07,6.8974
2016-08,3.7881
2016-09,5.2352
2016-10,4.8570
2016-11,6.7718
2016-12,4.2896
2017-01,4.3561
2017-02,4.2002
2017-03,4.0856
2017-04,3.3131
2017-05,2.4178
2017-06,4.0757
2017-07,4.9680
2017-08,4.4817
2017-09,2.8450
2017-10,3.5782
2017-11,3.5643
2017-12,6.5457
2018-01,5.2852
2018-02,10.9214
2018-03,6.7771
2018-04,5.4085
2018-05,4.9753
2018-06,3.9652
2018-07,4.2314
2018-08,5.1826
2018-09,5.7009
2018-10,11.2920
2018-11,8.0606
2018-12,21.7341
2019-01,14.7885
2019-02,5.0162
2019-03,6.4817
2019-04,5.5954
2019-05,6.0470
2019-06,7.8884
2019-07,8.3416
2019-08,14.6360
2019-09,5.4144
2019-10,4.7833
2019-11,5.8507
2019-12,6.1391
2020-01,4.8785
2020-02,6.6969
2020-03,23.0860
2020-04,10.1946
2020-05,8.1514
2020-06,10.6121
2020-07,7.6220
2020-08,6.1952
2020-09,5.0786
2020-10,6.7060
2020-11,5.9653
2020-12,4.2401
2021-01,6.3466
2021-02,6.9124
2021-03,6.5690
2021-04,5.3223
2021-05,5.6749
2021-06,5.9560
2021-07,4.7322
2021-08,5.3410
2021-09,8.1083
2021-10,5.6470
2021-11,3.9979
2021-12,6.2620
2022-01,8.1408
2022-02,10.4090
2022-03,11.3908
2022-04,7.4577
2022-05,12.7198
2022-06,10.2076
2022-07,9.5593
2022-08,4.5687
2022-09,7.9420
2022-10,8.8391
2022-11,6.7261
2022-12,8.1299
2023-01,8.3080
2023-02,6.5715
2023-03,16.6024
2023-04,7.1739
2023-05,7.6497
2023-06,7.1101
2023-07,5.3970
2023-08,6.0410
2023-09,6.9635
2023-10,5.9932
2023-11,5.0780
2023-12,4.8141
2024-01,6.0199
2024-02,4.3743
2024-03,5.2142
2024-04,5.7036
2024-05,4.6781
2024-06,3.9184
2024-07,5.3013
2024-08,8.0386
2024-09,9.2934
2024-10,5.4460
2024-11,6.0385
2024-12,5.0995
2025-01,3.5144
2025-02,2.9297
2025-03,10.1252
2025-04,14.7573
2025-05,5.6967
2025-06,3.7722
2025-07,5.3442
2025-08,7.1977
2025-09,6.1104
2025-10,5.3045
2025-11,3.6595
2025-12,6.9654
2026-01,6.7205
2026-02,5.2490
2026-03,6.8478
2026-04,3.8360
2026-05,2.3118
2026-06,3.2503
2026-07,5.0587
