span,n,delta_r2,t
1994-2009,191,0.06127202553405309,2.934991391891431
2010-2026,199,0.05479470900760941,3.2645737795256218
1994-2001,95,0.00601479721532594,0.5835971099923327
2002-2009,96,0.10638251322054892,3.389310062642172
2010-2017,96,0.1904671261179769,6.496557355584165
2018-2026,103,0.012381251348825284,1.333949836919128
