variant,horizon,n,delta_r2,placebo_p,detectable_floor
"A: rectangle contracts, rectangle window (headline)",5,161,0.004910518767386907,0.5079365079365079,0.04866001979767379
"A: rectangle contracts, rectangle window (headline)",10,161,0.022859067424262802,0.30952380952380953,0.053397816059999055
"A: rectangle contracts, rectangle window (headline)",21,151,0.0022059965039377127,0.8095238095238095,0.10005559128414036
"B: all contracts, full window",5,221,0.016846969517065435,0.4365079365079365,0.0553449535014296
"B: all contracts, full window",10,216,0.01902193013055553,0.38095238095238093,0.07092839115494301
"B: all contracts, full window",21,205,0.0037295281130452773,0.6904761904761905,0.08632234199946295
"C: all contracts, rectangle window",5,167,0.009927839475012079,0.5952380952380952,0.06153714193988881
"C: all contracts, rectangle window",10,167,0.009572942512714788,0.7222222222222222,0.07776092179832676
"C: all contracts, rectangle window",21,157,0.007733683411374814,0.7380952380952381,0.13244405606111448
