cut,n,delta_r2,t,share_of_published
none (published),390,0.059593863738257924,4.265775588697583,1.0
drop top 5% by target |return|,370,0.03280984057646552,3.648689780305059,0.5505573647744934
drop 2008-2009,366,0.046868742571582245,3.8564539785344802,0.7864692710214989
drop 2020,378,0.05470238828091489,3.816224754226369,0.9179198133749664
drop 2008-09 and 2020,354,0.03927731227787301,3.3905663011347147,0.6590831641724525
"drop 1998, 2001-02, 2008-09, 2020",318,0.02683272193472408,2.7245114697445105,0.45025981286556643
winsorise 1/99,390,0.05221579877349547,4.388649014992039,0.8761942169554967
