target,spec,n,beta_CPUI,t,p,r2,target_stationarity
"log realised vol (21d, trailing)",levels,159,0.029296085983942965,1.1448379443402998,0.2540185578844424,0.020012888784942673,unit root
"log realised vol (21d, trailing)",changes,158,0.0021394509054458023,0.434636980001571,0.6644265685865525,0.001247072281625683,stationary
log VIXY level,levels,159,-0.05979067124197101,-3.5600504617790847,0.0004909148290813174,0.15055897805033358,unit root
log VIXY level,changes,158,0.011059306185338035,3.3286426227286974,0.0010888567589479108,0.0978075890762945,stationary
|SPY return|,levels,159,0.0007308566292447362,1.5026131631531199,0.13494756446808578,0.018313227770010765,stationary
|SPY return|,changes,158,0.0013853524066276262,1.7254831355844826,0.08642064471950342,0.03487253841763449,stationary
