target,target_label,target_kind,signal_set,term,n,beta,t,p,hac_lags,r2_base,r2_full,delta_r2,delta_adj_r2,wald_p
fwd_abs_ret,next month |return|,forward,EMV overall,log_EMVOVERALLEMV,390,0.007793272678868682,4.265775588697583,2.5100424586265018e-05,5,0.07777109962961759,0.13736496336787551,0.059593863738257924,0.057799003926453874,1.9920894168443673e-05
fwd_abs_ret,next month |return|,forward,EMV monetary,log_EMVMONETARYPOL,390,0.007045902737948142,4.915492330634403,1.3131093871198973e-06,5,0.07777109962961759,0.13554689983273926,0.057775800203121674,0.05596205141952404,8.855961767307068e-07
fwd_abs_ret,next month |return|,forward,EMV trade,log_EMVTRADEPOLEMV,390,0.0013322208983860247,1.060615317575213,0.289529655384263,5,0.07777109962961759,0.08000562747374818,0.002234527844130585,-0.00015627311982024938,0.2888647584912638
fwd_abs_ret,next month |return|,forward,EMV policy pair,log_EMVMONETARYPOL,390,0.0070953999548547045,4.816504385278361,2.106040836943425e-06,5,0.07777109962961759,0.13559980398069715,0.05782870435107956,0.05374107559264263,5.652298397734686e-06
fwd_abs_ret,next month |return|,forward,EMV policy pair,log_EMVTRADEPOLEMV,390,-0.00021043927152069396,-0.1813748410225372,0.8561690613983165,5,0.07777109962961759,0.13559980398069715,0.05782870435107956,0.05374107559264263,5.652298397734686e-06
fwd_abs_ret,next month |return|,forward,EPU headline,log_EPU,390,0.005710429875763478,3.1244154471432815,0.001916563151136815,5,0.07777109962961759,0.0987797120528896,0.02100861242327201,0.01881286688352002,0.0017815871663419752
fwd_abs_ret,next month |return|,forward,EPU categorical,log_EPUMONETARY,389,0.003550112327444061,2.2640040948350872,0.0241339863491982,5,0.07761534804721948,0.08986842332852474,0.012253075281305259,0.005145227787096807,0.14668268864530787
fwd_abs_ret,next month |return|,forward,EPU categorical,log_EPUTRADE,389,-0.0013061008528326304,-0.8505378850394932,0.3955589028710085,5,0.07761534804721948,0.08986842332852474,0.012253075281305259,0.005145227787096807,0.14668268864530787
fwd_abs_ret,next month |return|,forward,EPU categorical,log_EPUSOVDEBT,389,0.00032887722625359343,0.2246031038248562,0.8224081393383023,5,0.07761534804721948,0.08986842332852474,0.012253075281305259,0.005145227787096807,0.14668268864530787
log_fwd_rv12,realised vol over next 12m (log),forward,EMV overall,log_EMVOVERALLEMV,379,0.12536973337993718,3.3906460605969584,0.0007716413703673091,11,0.15268940822864885,0.21463201443849844,0.06194260620984959,0.060321433344432185,0.0006972808802917072
log_fwd_rv12,realised vol over next 12m (log),forward,EMV monetary,log_EMVMONETARYPOL,379,0.09405482242504441,3.311173221048013,0.001019487602231238,11,0.15268940822864885,0.19482731954699806,0.04213791131834921,0.04030492353430615,0.0009290567896688987
log_fwd_rv12,realised vol over next 12m (log),forward,EMV trade,log_EMVTRADEPOLEMV,379,0.05408015078928754,1.3993231606279255,0.16254492228601347,11,0.15268940822864885,0.16839656095372624,0.01570715272507739,0.013591483030945817,0.16171609739866774
log_fwd_rv12,realised vol over next 12m (log),forward,EMV policy pair,log_EMVMONETARYPOL,379,0.08496308040616135,2.5617634979926027,0.010806478936906363,11,0.15268940822864885,0.20057852030165768,0.04788911207300883,0.04395149118119657,0.0019675745249947943
log_fwd_rv12,realised vol over next 12m (log),forward,EMV policy pair,log_EMVTRADEPOLEMV,379,0.0338257837247419,0.8435060690225199,0.39948607811356357,11,0.15268940822864885,0.20057852030165768,0.04788911207300883,0.04395149118119657,0.0019675745249947943
log_fwd_rv12,realised vol over next 12m (log),forward,EPU headline,log_EPU,379,0.0079798926037431,0.21420693795503729,0.8305024237444427,11,0.15268940822864885,0.15286661766407872,0.00017720943542987033,-0.0021045559088583854,0.8303856859460641
log_fwd_rv12,realised vol over next 12m (log),forward,EPU categorical,log_EPUMONETARY,379,-0.03376511331011593,-0.8529263588418703,0.39424896659444325,11,0.15268940822864885,0.1748108946871264,0.022121486458477557,0.015590469494053738,0.2773970393189297
log_fwd_rv12,realised vol over next 12m (log),forward,EPU categorical,log_EPUTRADE,379,0.048701216337780594,1.03426532044887,0.3016840307273891,11,0.15268940822864885,0.1748108946871264,0.022121486458477557,0.015590469494053738,0.2773970393189297
log_fwd_rv12,realised vol over next 12m (log),forward,EPU categorical,log_EPUSOVDEBT,379,-0.04834635583280392,-1.1359234414352997,0.25671988265497836,11,0.15268940822864885,0.1748108946871264,0.022121486458477557,0.015590469494053738,0.2773970393189297
log_rv12,trailing 12m realised vol (log),contemporaneous,EMV overall,log_EMVOVERALLEMV,390,0.15341562731278047,4.373593417491975,1.574271934802406e-05,11,0.1631182825405404,0.2741295432422366,0.1110112607016962,0.109694750583897,1.2221790949574322e-05
log_rv12,trailing 12m realised vol (log),contemporaneous,EMV monetary,log_EMVMONETARYPOL,390,0.07963987571722171,2.717478726170786,0.006874443190067474,11,0.1631182825405404,0.19511651337105196,0.031998230830511565,0.030067629806977747,0.006578138410788312
log_rv12,trailing 12m realised vol (log),contemporaneous,EMV trade,log_EMVTRADEPOLEMV,390,-0.025477622387526835,-0.8381979360168818,0.4024382712171674,11,0.1631182825405404,0.16653958331943675,0.0034213007788963523,0.001268599262733483,0.4019195460627162
log_rv12,trailing 12m realised vol (log),contemporaneous,EMV policy pair,log_EMVMONETARYPOL,390,0.08895663142784205,2.8821731426790342,0.004170779135507301,11,0.1631182825405404,0.2047216186115426,0.041603336071002195,0.03766567365316564,0.013117442212462698
log_rv12,trailing 12m realised vol (log),contemporaneous,EMV policy pair,log_EMVTRADEPOLEMV,390,-0.04365113430212391,-1.4584586281788707,0.14552946374044803,11,0.1631182825405404,0.2047216186115426,0.041603336071002195,0.03766567365316564,0.013117442212462698
log_rv12,trailing 12m realised vol (log),contemporaneous,EPU headline,log_EPU,390,0.168916929593458,3.3041733313526804,0.0010416033478520316,11,0.1631182825405404,0.24846394542425743,0.08534566288371703,0.08382967920774709,0.0009525691760241744
log_rv12,trailing 12m realised vol (log),contemporaneous,EPU categorical,log_EPUMONETARY,389,0.12550568771990941,2.932136460714788,0.0035685328088072388,11,0.16344750346182269,0.2825898408961578,0.11914233743433511,0.11411113845489707,1.051839116530431e-05
log_rv12,trailing 12m realised vol (log),contemporaneous,EPU categorical,log_EPUTRADE,389,-0.08201270570085852,-2.006708892934979,0.04548307681417017,11,0.16344750346182269,0.2825898408961578,0.11914233743433511,0.11411113845489707,1.051839116530431e-05
