target,target_label,signal_set,term_shown,n,overlap,lags_used,t_at_1,t_at_5,t_at_10,t_at_20,t_at_30
fwd_abs_ret,next month |return|,EMV overall,log_EMVOVERALLEMV,390,1,5,4.259260646888054,4.265775588697583,4.046789533223854,3.97967446917481,3.9574342687350534
fwd_abs_ret,next month |return|,EMV monetary,log_EMVMONETARYPOL,390,1,5,4.574776272495795,4.915492330634403,5.073175764402045,5.586526132139062,5.644159750618225
fwd_abs_ret,next month |return|,EMV trade,log_EMVTRADEPOLEMV,390,1,5,1.0975496722267037,1.060615317575213,1.1404603970140967,1.2314540601596717,1.2084124652070338
fwd_abs_ret,next month |return|,EMV policy pair,log_EMVMONETARYPOL,390,1,5,4.504075311912774,4.816504385278361,4.930736280594934,5.474757307729666,5.488164176288414
fwd_abs_ret,next month |return|,EPU headline,log_EPU,390,1,5,3.050122792316024,3.1244154471432815,3.041554446143045,3.011995757199008,2.9561367832336813
fwd_abs_ret,next month |return|,EPU categorical,log_EPUMONETARY,389,1,5,2.3104102250054592,2.2640040948350872,2.1644025043635216,2.0650242085451374,2.1087054328409494
log_fwd_rv12,realised vol over next 12m (log),EMV overall,log_EMVOVERALLEMV,379,12,11,4.890689993358743,3.9054014643545862,3.4450924639791247,3.2000644382228067,3.154618992428244
log_fwd_rv12,realised vol over next 12m (log),EMV monetary,log_EMVMONETARYPOL,379,12,11,4.180454388479483,3.682062585363839,3.3474089311271302,3.230531125162544,3.273755809722322
log_fwd_rv12,realised vol over next 12m (log),EMV trade,log_EMVTRADEPOLEMV,379,12,11,2.325171248323404,1.6166821146889998,1.4185082611306914,1.3036883198679228,1.2951562892978707
log_fwd_rv12,realised vol over next 12m (log),EMV policy pair,log_EMVMONETARYPOL,379,12,11,3.5602613792376285,2.950512475750608,2.5989215449475487,2.4564878268452524,2.5168073456291964
log_fwd_rv12,realised vol over next 12m (log),EPU headline,log_EPU,379,12,11,0.2740277077730914,0.2290121982180841,0.21471481006840845,0.23025106492009162,0.24107710017116327
log_fwd_rv12,realised vol over next 12m (log),EPU categorical,log_EPUMONETARY,379,12,11,-1.2862375769225955,-0.9700111440877887,-0.8625603426451988,-0.8182866816981711,-0.8535852440347869
log_rv12,trailing 12m realised vol (log),EMV overall,log_EMVOVERALLEMV,390,12,11,6.164743779377107,4.961930957054667,4.440582429677728,4.046144593961934,4.0675573506396985
log_rv12,trailing 12m realised vol (log),EMV monetary,log_EMVMONETARYPOL,390,12,11,3.6308906589075285,3.0947864334787543,2.761081165934541,2.5401588482656385,2.506716564892457
log_rv12,trailing 12m realised vol (log),EMV trade,log_EMVTRADEPOLEMV,390,12,11,-1.472029373207035,-0.9914863545240499,-0.8484651067496141,-0.8134679376344968,-0.7561047822031388
log_rv12,trailing 12m realised vol (log),EMV policy pair,log_EMVMONETARYPOL,390,12,11,3.923835928803739,3.3226287511625237,2.9299548324790003,2.669362186408225,2.6403460641945915
log_rv12,trailing 12m realised vol (log),EPU headline,log_EPU,390,12,11,5.579117494566236,4.013456367869934,3.3861118344517878,2.8502581947523917,2.588008570552164
log_rv12,trailing 12m realised vol (log),EPU categorical,log_EPUMONETARY,389,12,11,4.540817919754804,3.36445249201432,2.967950682451526,2.839220400706697,2.827762166714278
