release,signal_set,target,frequency,n_obs,delta_r2,placebo_p,placebo_p_fdr,detectable_floor,survives_fdr
R4 news-based,EMV overall,realised vol over next 12m (log),monthly,379,0.0619426062098495,0.1191860465116279,0.3064784053156146,0.0651727381760575,False
R4 news-based,EMV overall,next month |return|,monthly,390,0.0595938637382579,0.0028328611898017,0.0101983002832861,0.0082616014971952,True
R4 news-based,EMV policy pair,next month |return|,monthly,390,0.0578287043510795,0.0028328611898017,0.0101983002832861,0.0156518408583592,True
R4 news-based,EMV monetary,next month |return|,monthly,390,0.0577758002031216,0.0028328611898017,0.0101983002832861,0.009091975558699,True
R4 news-based,EMV policy pair,realised vol over next 12m (log),monthly,379,0.0478891120730088,0.311046511627907,0.4317280453257791,0.0821236302021052,False
R4 news-based,EMV monetary,realised vol over next 12m (log),monthly,379,0.0421379113183492,0.1395348837209302,0.313953488372093,0.0507136655286042,False
R3 Polymarket,entropy+flow,"realised vol, next 10d",daily,160,0.0260577269536592,0.3424657534246575,0.902641878669276,0.0662521125268049,False
R3 Polymarket,agg_entropy,"realised vol, next 10d",daily,161,0.0228590674242628,0.3082191780821918,0.902641878669276,0.0546106458115519,False
R4 news-based,EPU categorical,realised vol over next 12m (log),monthly,379,0.0221214864584775,0.8343023255813954,0.8833789329685363,0.1137805454694012,False
R4 news-based,EPU headline,next month |return|,monthly,390,0.021008612423272,0.0028328611898017,0.0101983002832861,0.0080619178042148,True
R4 news-based,EMV trade,realised vol over next 12m (log),monthly,379,0.0157071527250773,0.3459302325581395,0.4317280453257791,0.0520756680645663,False
R4 news-based,EPU categorical,next month |return|,monthly,389,0.0122530752813052,0.3011363636363636,0.4317280453257791,0.0192216093134464,False
R3 Polymarket,disp_flow,"realised vol, next 21d",daily,149,0.0038283208213941,0.3972602739726027,0.902641878669276,0.0112892732496409,False
R4 news-based,EMV trade,next month |return|,monthly,390,0.0022345278441305,0.3597733711048159,0.4317280453257791,0.0071440499298768,False
R3 Polymarket,CPUI,"realised vol, next 10d",daily,159,0.0019411428176933,0.6232876712328768,0.902641878669276,0.0190393441667037,False
R3 Polymarket,agg_flow,"realised vol, next 10d",daily,160,0.0016313458819379,0.7054794520547946,0.902641878669276,0.0153422694994305,False
R4 news-based,EPU headline,realised vol over next 12m (log),monthly,379,0.0001772094354298,0.9622093023255814,0.9622093023255816,0.0610854071536584,False
