horizon,signal_set,term,n,beta,t,p,r2_base,r2_full,delta_r2,delta_adj_r2,wald_p
5,CPUI,CPUI,159,0.006787919802051262,0.17950449570011337,0.8577790933618368,0.15400125842966983,0.15415399930257212,0.00015274087290229055,-0.005515292006139427,0.8575415876059472
5,agg_entropy,agg_entropy,161,0.06162544424750659,0.5302122818185798,0.5967235016417662,0.1524997369475457,0.1574102557149326,0.004910518767386907,-0.0005390195886856297,0.5959647565615966
5,agg_flow,agg_flow,160,0.011517057784645984,0.47426568022160154,0.6359822310995336,0.1517689011141662,0.1523630894893746,0.0005941883752084154,-0.005036655727517214,0.6353104617825615
5,disp_flow,disp_flow,159,-0.015058869048535782,-0.5616952086644134,0.5751455677090769,0.15400125842966983,0.15501832518375314,0.0010170667540833067,-0.00462272018112897,0.5743236993677698
5,entropy+flow,agg_entropy,160,0.0706852154561714,0.5260247911667724,0.5996326172657396,0.1517689011141662,0.1578885495462865,0.006119648432120317,-0.005014495207087855,0.8094065326708808
5,entropy+flow,agg_flow,160,0.012487312898696472,0.505809794784339,0.6137181488516447,0.1517689011141662,0.1578885495462865,0.006119648432120317,-0.005014495207087855,0.8094065326708808
10,CPUI,CPUI,159,0.016719786054917064,0.7615401712001135,0.4475067271344361,0.2140347218337909,0.21597586465148422,0.0019411428176933088,-0.0032658784020944687,0.4463344944970986
10,agg_entropy,agg_entropy,161,0.09174086986988905,1.1351761232895634,0.25805386435228456,0.214375268780171,0.2372343362044338,0.022859067424262802,0.01839794730828892,0.2563015315332123
10,agg_flow,agg_flow,160,0.013170482877619013,0.8157446332796254,0.4159061156302214,0.21449498050954363,0.21612632639148155,0.0016313458819379179,-0.0035480007892175758,0.41464620563988874
10,disp_flow,disp_flow,159,-0.010106649540327584,-0.46985907876197436,0.6391246927981387,0.2140347218337909,0.21499432871131685,0.0009596068775259425,-0.004279490680175857,0.6384557021692323
10,entropy+flow,agg_entropy,160,0.10257065539222172,1.1155759958201137,0.26635276810125685,0.21449498050954363,0.2405527074632029,0.026057726953659266,0.016546577464683465,0.30556682921864114
10,entropy+flow,agg_flow,160,0.01457841100379708,0.8995869832421193,0.36975375075590844,0.21449498050954363,0.2405527074632029,0.026057726953659266,0.016546577464683465,0.30556682921864114
21,CPUI,CPUI,149,0.0006156149899996151,0.035926449810407664,0.9713911075499368,0.33734374389226573,0.33735008987944115,6.345987175415679e-06,-0.004756113064552481,0.9713410055785343
21,agg_entropy,agg_entropy,151,0.01867036682026911,0.2434609646561086,0.8079924205842924,0.3487806201473951,0.3509866166513328,0.0022059965039377127,-0.0023321484903946477,0.8076483211538019
21,agg_flow,agg_flow,150,0.0061342150824788555,0.3748816780747678,0.7083000076289271,0.3409429913382904,0.3417967188195976,0.0008537274813071871,-0.0038196701176701486,0.7077484658278541
21,disp_flow,disp_flow,149,-0.012969089539751677,-0.7272895214716208,0.4682376373135198,0.33734374389226573,0.3411720647136599,0.003828320821394171,-0.0008005027466196912,0.4670486158231153
21,entropy+flow,agg_entropy,150,0.036698263271487376,0.4399933863823488,0.6606061896312195,0.3409429913382904,0.3491269779243925,0.008183986586102088,-0.0009444879859392685,0.8020069837740693
21,entropy+flow,agg_flow,150,0.007016588906761698,0.40532933129661275,0.6858412093678901,0.3409429913382904,0.3491269779243925,0.008183986586102088,-0.0009444879859392685,0.8020069837740693
