market,theme,asset,lag,n,p_prob_leads_market,p_market_leads_prob,p_prob_leads_market_fdr,p_market_leads_prob_fdr
fed_sep2026_no_change,monetary,TLT,1,74,0.04547248259540869,0.9241768679669404,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,TLT,2,74,0.6543074025170452,0.9677830451204671,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,TLT,3,74,0.6621086189885231,0.8487041827190097,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,TLT,4,74,0.9423826500871187,0.8336721706820841,0.9816485938407487,0.9914427486398933
fed_sep2026_no_change,monetary,TLT,5,74,0.7277053862118654,0.8749727052581349,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,XLF,1,74,0.8766487962820643,0.6348118561960571,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,XLF,2,74,0.8321856897267721,0.8671429581770806,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,XLF,3,74,0.4088779558502077,0.9025462547236223,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,XLF,4,74,0.5732403207144057,0.41894734902048114,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,XLF,5,74,0.7502353050619859,0.21900570886087456,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,SPY,1,74,0.1818240650886806,0.8620653160152497,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,SPY,2,74,0.7713114858898541,0.93510878339733,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,SPY,3,74,0.9077420348217731,0.9795284217589199,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,SPY,4,74,0.5764067355115341,0.9835112066507742,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,SPY,5,74,0.621037925503525,0.9973794711407283,0.9786128357930445,0.9973794711407283
fed_sep2026_no_change,monetary,XLI,1,74,0.2540948168378256,0.5744445265519749,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,XLI,2,74,0.6851389814704039,0.8626070307295857,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,XLI,3,74,0.9238105169886339,0.8334585437715271,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,XLI,4,74,0.8741768103582831,0.9616813808601112,0.9786128357930445,0.9914427486398933
fed_sep2026_no_change,monetary,XLI,5,74,0.6895256044919997,0.9668121905552871,0.9786128357930445,0.9914427486398933
