market,theme,asset,n,corr_full,beta_dp,t_ols,p_ols,t_hc3,p_hc3,hac_lags,t_beta_hac,p_beta_hac,roll_mean,roll_sd,roll_min,roll_max,frac_signif_window,frac_negative,mean_abs_z,p_hc3_fdr
fed_sep2026_hike25,monetary,VIXY,75,0.2932849226978972,0.14699497324786168,2.6210896865286397,0.010658969390272905,3.840450101545155,0.00025934770786562267,3,3.94545356126214,0.00018128029805159415,0.27116572767013597,0.20769243459228492,-0.10842161880126273,0.5963118071908826,0.08,0.14666666666666667,0.3134913087928186,0.004310845361142315
fed_sep2026_hike25,monetary,SPY,75,-0.306897552116674,-0.046116027435848375,-2.7550873067061934,0.007403447182796923,-3.755726077386684,0.00034486762889138515,3,-4.485891263914609,2.649523439231679e-05,-0.3218653211579222,0.09300880331521003,-0.512279544792505,-0.15532348720564565,0.06666666666666667,0.7333333333333333,0.33724391351314637,0.004310845361142315
fed_sep2026_no_change,monetary,SPY,74,0.26578044743137863,0.035526617371260595,2.3393602820486206,0.02209460783286967,3.2851979632325703,0.0015759950033408456,3,4.134095303916686,9.512906049035271e-05,0.2487828936889905,0.06871410506840553,0.1557145144192219,0.45957409127461984,0.0,0.0,0.2555594199761584,0.013133291694507047
us_recession_2026,growth,XLI,202,-0.2109744484889926,-0.12395988069850368,-3.0523324553082545,0.0025791309534003103,-2.648310591256291,0.008735043324328255,4,-2.2823611459738915,0.02352011038111528,-0.1946482140797908,0.3183067324539093,-0.6943413891801086,0.4552163461775735,0.18316831683168316,0.6633663366336634,0.3450024119592808,0.046135871567003175
fed_hike_2026,monetary,VIXY,162,0.23254608736310584,0.18236723475100994,3.0244143650863675,0.002902848200346878,2.635527347548079,0.009227174313400635,4,2.6923198722095165,0.007850996418349295,0.305282079409904,0.2633835741077619,-0.5816970579372108,0.6461572141897648,0.32098765432098764,0.09259259259259259,0.3918322178130317,0.046135871567003175
fed_sep2026_no_change,monetary,VIXY,74,-0.2199665693653245,-0.09810723404417973,-1.9133409069860101,0.059680729704904484,-2.583333988159626,0.011815375865084214,3,-2.9676929457229626,0.004071039485319752,-0.19023172011782175,0.1494323596294987,-0.5043774038560324,0.07719441104589289,0.013513513513513514,0.6081081081081081,0.21341198503005168,0.04910654813583575
fed_sep2026_no_change,monetary,XLI,74,0.16757351012104277,0.030809787164460988,1.4423031512851578,0.15355294505140019,2.4861560463331456,0.01523420204731057,3,2.5762640685519695,0.012038426170161255,0.14031347664470514,0.11126923277085086,-0.02364805117351534,0.466374420886105,0.013513513513513514,0.0945945945945946,0.1473573187891763,0.04910654813583575
fed_hike_2026,monetary,SPY,162,-0.250624769292957,-0.045996810006494145,-3.2746945838352923,0.0012966120932733293,-2.4314002843143543,0.016144622217489076,4,-2.558468492592466,0.011441271833951015,-0.2690729949567171,0.2522916142379908,-0.6881135244709234,0.25274316440393063,0.2345679012345679,0.6975308641975309,0.33398146358159836,0.04910654813583575
us_recession_2026,growth,SPY,202,-0.17844861458984276,-0.07948293896821866,-2.5648117060138573,0.011056127437123977,-2.392096802556883,0.01767835732890087,4,-2.0501854984653813,0.041650924405688995,-0.12705992345725967,0.3397297713169338,-0.7824106628426527,0.49674663679021697,0.19801980198019803,0.5198019801980198,0.3224554119935719,0.04910654813583575
fed_sep2026_no_change,monetary,TLT,74,0.20058575402300818,0.019835767780883976,1.737335920382861,0.08660393099411245,2.3641709541360667,0.020770444912279327,3,2.3596531321951257,0.02100617354694479,0.1748077917275825,0.2712894735175171,-0.263758294606217,0.5183538176634378,0.0945945945945946,0.22972972972972974,0.29820770151424575,0.05192611228069832
