date,agg_entropy,agg_flow,disp_flow,agg_drift,agg_level,disp_level_chg,agg_entropy_chg,n_live_contracts,CPUI
2025-12-10,0.6052269817883337,,,,-0.8757788835681372,,,4,
2025-12-11,0.37964796936189693,1.0799578248697597,0.6404478567068912,,-1.9325160476086256,0.6629519986275494,-0.22557901242643674,4,3.6390011289682094
2025-12-12,0.3839755799945556,0.07265760870663161,0.06693739107215195,,-1.9159512664546554,0.09453980144173235,0.004327610632658685,4,-0.5812610518488798
2025-12-15,0.3881555270165695,0.0683286879114698,0.061121773293080696,,-1.8977101483185603,0.10213980316206606,0.004179947022013908,4,-0.5982481492388948
2025-12-16,0.3881555270165695,0.0,0.0,,-1.8977101483185603,0.0,0.0,4,-0.9625970100925422
2025-12-17,0.3879285987251382,0.0010567748215363963,0.08857009902597857,-0.15642359253778054,-1.8987669231400968,0.08857009902597857,-0.00022692829143133864,4,-0.6533126065806739
2025-12-18,0.3932416915370116,0.029077017773902678,0.08464062853799514,0.0029340990549089996,-1.869689905366194,0.08464062853799514,0.005313092811873421,4,-0.588278183753809
2025-12-19,0.3888164068404802,0.025210651994828994,0.12472061270981619,-0.00022628275112245299,-1.8940658874610163,0.1671178306597373,-0.004425284696531417,4,-0.47127212589884776
2025-12-22,0.3879732706495226,0.004412668157298724,0.03747050342116352,-0.00010308661808762665,-1.898478555618315,0.03747050342116352,-0.0008431361909576052,4,-0.8231912828594409
2025-12-23,0.3887731232280361,0.004422252909860515,0.040285116213368666,0.000747636636014142,-1.8943334070700215,0.04829720750042033,0.0007998525785135047,4,-0.8109359058806075
2025-12-24,0.3879285987251382,0.0044335160700751265,0.043616007598140556,0.0,-1.8987669231400968,0.043616007598140556,-0.0008445245028979032,4,-0.8019370224189407
2025-12-26,0.3501301970640288,0.19163196726918372,0.1057313189421391,-0.024142415422794643,-2.0903988904092805,0.1057313189421391,-0.03779840166110937,4,-0.2857712225016618
2025-12-29,0.3784002560910322,0.14452582030063182,0.08201969646747079,-0.005845237173646291,-1.9458730701086486,0.08201969646747079,0.028270059027003414,4,-0.38607799618922506
2025-12-30,0.3870852310987196,0.04277382408138261,0.026061135591781248,-0.0008750659429814783,-1.903099246027266,0.026061135591781248,0.00868497500768739,4,-0.7801816597470609
2025-12-31,0.3870852310987196,0.0,0.0,-0.0017257891970832472,-1.903099246027266,0.0,0.0,4,-0.9658861893945992
2026-01-02,0.34339277803936696,0.21996396611171967,0.10808039706663068,-0.024158643882047786,-2.1230632121389856,0.10808039706663068,-0.043692453059352654,4,-0.23526880626222044
2026-01-05,0.39957907355708105,0.279253591738315,0.4700888965880217,0.02123359307535551,-1.8438096204006706,0.4700888965880217,0.05618629551771409,4,1.3267023269911096
2026-01-06,0.4014331931756455,0.009970290269367268,0.20311915728896052,0.009758429318274437,-1.8352059281628592,0.22101068676356686,0.0018541196185644648,4,-0.19411262935619647
2026-01-07,0.3941257691199067,0.044329905901745174,0.010634534021927652,0.002442279382643483,-1.8700277044086073,0.0385165775154282,-0.007307424055738809,4,-0.8086633566139022
2026-01-08,0.3902529542890687,0.018634916126891568,0.05100390700365317,-0.0009946933981951848,-1.8886626205354993,0.05100390700365317,-0.0038728148308380117,4,-0.7375305612760492
2026-01-09,0.39854421781779553,0.04014374072977692,0.1185835523430523,0.02639229793846413,-1.8488164390608073,0.12887934671431311,0.008291263528726833,4,-0.4294616580186246
2026-01-12,0.38937473719072446,0.04590367763363051,0.13050154724452873,-0.005638870057187905,-1.8927003360664014,0.19719919272655184,-0.00916948062707107,4,-0.4034282814459591
2026-01-13,0.38704212594824683,0.011069749260554903,0.08512051235129314,-0.00928688461197777,-1.9036548111979628,0.10112948788387835,-0.0023326112424776335,4,-0.6457359808266964
2026-01-14,0.394198980912883,0.04480130445436708,0.046661637316129975,-0.002834440697851108,-1.8693044335048363,0.06650701793751446,0.0071568549646361945,4,-0.6822565766091948
2026-01-15,0.3942282723898735,0.0001504683511552697,0.012611008977979288,0.0006323608523227526,-1.869153965153681,0.012611008977979288,2.9291476990489507e-05,4,-0.899797955142018
2026-01-16,0.39410359749845697,0.0006445485120669058,0.04897575008267847,-0.0035749505863205406,-1.869798513665748,0.04897575008267847,-0.00012467489141654298,4,-0.7727761203032658
2026-01-20,0.3884003335444783,0.05198448302548336,0.17224677978735278,-0.0008135916781026643,-1.8969657127877584,0.20408834625624087,-0.005703263953978688,4,-0.24789736431573237
2026-01-21,0.35430116226733177,0.1803414099003206,0.08960547636699892,-0.01437581841140193,-2.066879282295904,0.1413828352570307,-0.03409917127714651,4,-0.35408841928465895
