market,theme,asset,n,k=-5,k=-4,k=-3,k=-2,k=-1,k=+0,k=+1,k=+2,k=+3,k=+4,k=+5
fed_sep2026_no_change,monetary,TLT,74,-0.055209641373217315,-0.06960684354068532,-0.09271092836198369,0.02830005045858211,0.007942746944787605,0.20058575402300818,-0.2417748452864952,-0.011861764687599773,-0.09056669152200592,-0.025584272498708163,0.05737203827318581
fed_sep2026_no_change,monetary,XLF,74,-0.18238762841064107,-0.22504368755152057,-0.060751075825027576,0.024803883887298553,0.05378787692321719,0.16001014092569835,0.001025900180225001,-0.03729709689555133,-0.14007088893476477,0.11541082370571616,0.060288767807425196
fed_sep2026_no_change,monetary,SPY,74,-0.05973164275825726,0.043099740532424886,0.024979594954603182,-0.04286231185000001,0.015698599715619297,0.26578044743137863,-0.17425567541996392,-0.01836518438415821,0.07872655312600617,0.07301440960635315,0.13039815923429535
fed_sep2026_no_change,monetary,XLI,74,-0.1147904484294212,0.014285303959042974,0.07072233946497596,0.0010638995448809133,0.06381358862255743,0.16757351012104277,-0.1573845390248919,-0.060394595537929655,-0.00220581551741931,-0.11376993851807954,0.08749960883657464
fed_sep2026_no_change,monetary,VIXY,74,-0.030244467368327005,-0.018438545475381467,0.1357816771442892,-0.00021079013358043776,0.05968010009075357,-0.2199665693653245,0.1328695834764009,-0.050088514840220866,-0.11290254342820348,-0.014874494106528633,-0.19613297139440988
fed_sep2026_hike25,monetary,TLT,75,-0.020075505284738927,0.16165166822337296,0.08667986189213568,-0.03884999358054913,-0.03372702478060476,-0.19931805368514938,0.17399598245243558,0.05624019438237209,0.041505371457009756,0.07640969266338281,0.039930594150051846
fed_sep2026_hike25,monetary,XLF,75,0.1158639308840389,0.22796371212295044,0.08583459655034201,-0.029694248492258032,-0.058586636738939546,-0.11200352278468355,-0.15770932842246882,0.11280973411515696,0.15778950679663978,-0.08526088582012396,-0.042787482524961666
fed_sep2026_hike25,monetary,SPY,75,-0.0004771717299289174,0.13480310576054041,-0.08487784285365424,0.08065885272305133,-0.019786677346060325,-0.306897552116674,0.06400097105214965,0.07927110649133705,-0.1189056018587136,-0.1455279970890771,0.03450842330559075
fed_sep2026_hike25,monetary,XLI,75,-0.04058501751504525,0.13744277060437968,-0.07163172267899999,-0.020765227079430695,-0.020563611916234157,-0.1810252870542521,0.042851220458523534,0.14081963846948928,-0.04069722762922739,0.04717905685920546,0.0885019485429777
fed_sep2026_hike25,monetary,VIXY,75,0.07391515950597946,-0.1265104922389281,-0.09604754388826305,-0.04971696537943135,-0.05686729015117094,0.2932849226978972,-0.046022325403692506,-0.03730946028578727,0.14389854966188037,0.1266638381828096,0.04253365834942377
